accession,target_type,pref_name,chembl_id,standard_value,standard_units,standard_type,pchembl_value,chembl_id_ligand,max_phase,standard_inchi,standard_inchi_key,hba,hbd,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,year,Activity_type,canonical_smiles (Canonical),ExactMW,QED
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"0,1726",nM,IC50,"9,76",CHEMBL4444219,,"InChI=1S/C24H30N4O.C2HF3O2/c1-3-15-26-28-24(29)13-12-19-8-10-20(11-9-19)17-25-16-14-21-18(2)27-23-7-5-4-6-22(21)23;3-2(4,5)1(6)7/h4-13,25-27H,3,14-17H2,1-2H3,(H,28,29);(H,6,7)/b13-12+;",YITSGXWXTPWSDD-UEIGIMKUSA-N,3,4,10,0,3,29,5,4,0,"-0,73",2020,Active,CCCNNC(=O)/C=C/c1ccc(CNCCc2c(C)[nH]c3ccccc23)cc1,"390,24196158","0,241428499325118"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"0,1726",nM,IC50,"9,76",CHEMBL4444219,,"InChI=1S/C24H30N4O.C2HF3O2/c1-3-15-26-28-24(29)13-12-19-8-10-20(11-9-19)17-25-16-14-21-18(2)27-23-7-5-4-6-22(21)23;3-2(4,5)1(6)7/h4-13,25-27H,3,14-17H2,1-2H3,(H,28,29);(H,6,7)/b13-12+;",YITSGXWXTPWSDD-UEIGIMKUSA-N,3,4,10,0,3,29,5,4,0,"-0,73",2020,Active,O=C(O)C(F)(F)F,"113,992863932","0,501116333079594"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"0,26",nM,Ki,"9,59",CHEMBL99,1,"InChI=1S/C17H22N2O3/c1-12(5-10-16(20)18-22)11-13(2)17(21)14-6-8-15(9-7-14)19(3)4/h5-11,13,22H,1-4H3,(H,18,20)/b10-5+,12-11+/t13-/m1/s1",RTKIYFITIVXBLE-QEQCGCAPSA-N,4,2,6,0,1,22,5,2,0,"0,58",2008,Active,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,"302,163042564","0,278511702877966"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"0,66",nM,IC50,"9,18",CHEMBL4744689,,"InChI=1S/C21H28N8O3/c22-21-23-13-15(14-24-21)18-25-19-16(20(26-18)29-9-11-32-12-10-29)6-8-28(19)7-4-2-1-3-5-17(30)27-31/h6,8,13-14,31H,1-5,7,9-12H2,(H,27,30)(H2,22,23,24)",YLDAIYDYJXZDGW-UHFFFAOYSA-N,10,3,9,0,3,32,11,4,1,"-1,25",2018,Active,Nc1ncc(-c2nc(N3CCOCC3)c3ccn(CCCCCCC(=O)NO)c3n2)cn1,"440,228436756","0,257385334556329"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"1,1",nM,IC50,"8,96",CHEMBL4291290,,"InChI=1S/C31H43N5O6S3/c1-31-20-45-27(36-31)24-19-44-26(34-24)18-33-25(37)17-22(13-8-10-16-43)41-28(38)23(35-29(31)39)14-7-9-15-32-30(40)42-21-11-5-3-2-4-6-12-21/h2-3,8,13,19,21-23,43H,4-7,9-12,14-18,20H2,1H3,(H,32,40)(H,33,37)(H,35,39)/b3-2+,13-8+/t21-,22-,23+,31+/m1/s1",LUPYACIUYLGDJP-ATRICVITSA-N,11,4,9,2,1,45,11,3,2,"1,29",2017,Active,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](CCCCNC(=O)O[C@@H]1CC/C=C/CCC1)NC2=O,"677,237547096","0,129588936346619"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"1,1",nM,IC50,"8,96",CHEMBL4749655,,"InChI=1S/C23H30N6O4/c30-15-17-6-5-7-18(14-17)21-25-22(28-10-12-33-13-11-28)20-23(26-21)29(16-24-20)9-4-2-1-3-8-19(31)27-32/h5-7,14,16,30,32H,1-4,8-13,15H2,(H,27,31)",JBFFDSGEOZGWCK-UHFFFAOYSA-N,9,3,10,0,3,33,10,3,0,"-1,1",2018,Active,O=C(CCCCCCn1cnc2c(N3CCOCC3)nc(-c3cccc(CO)c3)nc21)NO,"454,23285344","0,242015947047088"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"1,41",nM,IC50,"8,85",CHEMBL4063938,,"InChI=1S/C29H31N5O4/c1-3-16-31-34-28(36)20-8-12-22(13-9-20)32-29(37)26(17-21-18-30-25-7-5-4-6-24(21)25)33-27(35)19-10-14-23(38-2)15-11-19/h4-15,18,26,30-31H,3,16-17H2,1-2H3,(H,32,37)(H,33,35)(H,34,36)/t26-/m0/s1",JAKZKOACZFIOQD-SANMLTNESA-N,5,5,11,1,4,38,9,5,1,"-0,82",2018,Active,CCCNNC(=O)c1ccc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OC)cc2)cc1,"513,237604472","0,154166755961531"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"2,0",nM,IC50,"8,7",CHEMBL4785064,,"InChI=1S/C21H28N8O3/c22-16-7-6-15(13-23-16)19-25-20(28-9-11-32-12-10-28)18-21(26-19)29(14-24-18)8-4-2-1-3-5-17(30)27-31/h6-7,13-14,31H,1-5,8-12H2,(H2,22,23)(H,27,30)",IXTBKGBJNGTKQS-UHFFFAOYSA-N,10,3,9,0,3,32,11,4,1,"-1,03",2018,Active,Nc1ccc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1,"440,228436756","0,257385334556329"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"2,0",nM,Kd,"8,7",CHEMBL255686,,"InChI=1S/C41H42N8O7S/c50-30-16-18-33-36(23-30)56-35-9-5-4-8-32(35)38(33)31-17-15-28(22-34(31)40(53)54)45-41(57)43-20-7-21-49-25-29(46-48-49)24-44-27-13-11-26(12-14-27)39(52)42-19-6-2-1-3-10-37(51)47-55/h4-5,8-9,11-18,22-23,25,44,55H,1-3,6-7,10,19-21,24H2,(H,42,52)(H,47,51)(H,53,54)(H2,43,45,57)",SIKVCWVCYQGEQT-UHFFFAOYSA-N,11,7,18,4,4,57,15,7,4,"-0,92",2008,Active,O=C(CCCCCCNC(=O)c1ccc(NCc2cn(CCCNC(=S)Nc3ccc(-c4c5ccc(=O)cc-5oc5ccccc45)c(C(=O)O)c3)nn2)cc1)NO,"790,289716684","0,0174525220294"
O15379,PROTEIN COMPLEX,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL2111363,"2,1",nM,IC50,"8,68",CHEMBL3039527,-1,"InChI=1S/C21H26N6O2.ClH/c1-26-14-17(18-4-2-3-5-19(18)26)11-22-10-15-6-8-27(9-7-15)21-23-12-16(13-24-21)20(28)25-29;/h2-5,12-15,22,29H,6-11H2,1H3,(H,25,28);1H",TWNOICNTTFKOHQ-UHFFFAOYSA-N,7,3,6,0,3,29,8,3,0,"-1,24",2021,Active,Cl,"35,976677712","0,365164323793895"
