accession,target_type,pref_name,chembl_id,standard_value,standard_units,standard_type,pchembl_value,chembl_id_ligand,max_phase,standard_inchi,standard_inchi_key,hba,hbd,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,year,Activity_type,canonical_smiles (Canonical),ExactMW,QED,Col27,Col28,Col29
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"0,2",nM,IC50,"9,7",CHEMBL1421,"4,0","InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)",ZBNZXTGUTAYRHI-UHFFFAOYSA-N,9,3,7,0,3,33,9,3,0,"-2,33",2006,Active,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,"487,155721752",0.4657173061,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"0,3",nM,IC50,"9,52",CHEMBL45177,,"InChI=1S/C29H34N6O/c1-33-15-17-34(18-16-33)22-9-11-23(12-10-22)35-19-26(27-28(30)31-20-32-29(27)35)21-7-13-25(14-8-21)36-24-5-3-2-4-6-24/h2-8,13-14,19-20,22-23H,9-12,15-18H2,1H3,(H2,30,31,32)/t22-,23-",FDVSOQRNTAPCHB-YHBQERECSA-N,7,1,5,1,4,36,7,2,1,"-0,62",2018,Active,CN1CCN([C@H]2CC[C@H](n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,"482,279409708",0.4213476579,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"0,3162",nM,Ki,"9,5",CHEMBL1969102,,"InChI=1S/C24H20N6OS/c1-14-3-2-4-18(9-14)30-24(31)29-17-7-5-15(6-8-17)20-13-32-22-19(16-10-27-28-11-16)12-26-23(25)21(20)22/h2-13H,1H3,(H2,25,26)(H,27,28)(H2,29,30,31)",UGEJLCNSVIVALC-UHFFFAOYSA-N,5,4,4,1,5,32,7,5,1,"-1,51",,Active,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cn[nH]c5)cnc(N)c34)cc2)c1,"440,14193026",0.2793725289,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"0,36",nM,IC50,"9,44",CHEMBL1171837,"4,0","InChI=1S/C29H27F3N6O/c1-20-5-6-22(16-21(20)8-10-25-18-33-27-4-3-11-34-38(25)27)28(39)35-24-9-7-23(26(17-24)29(30,31)32)19-37-14-12-36(2)13-15-37/h3-7,9,11,16-18H,12-15,19H2,1-2H3,(H,35,39)",PHXJVRSECIGDHY-UHFFFAOYSA-N,6,1,4,1,4,39,7,1,1,"-1,8",2018,Active,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,"532,219844144",0.3935993293,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"0,4",nM,Kd,"9,4",CHEMBL249097,,"InChI=1S/C18H17N5O2/c1-11-5-6-14(24)10-15(11)22-16-7-8-20-18(23-16)21-13-4-2-3-12(9-13)17(19)25/h2-10,24H,1H3,(H2,19,25)(H2,20,21,22,23)",SFCBIFOAGRZJNX-UHFFFAOYSA-N,6,4,5,0,3,25,7,5,0,"-1,2",2008,Active,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,"335,138224784",0.5697350736,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"0,3981",nM,Ki,"9,4",CHEMBL1994938,,"InChI=1S/C22H20BrN5OS/c23-17-5-2-15(3-6-17)18-13-30-21-16(12-27-22(24)20(18)21)4-7-19(29)26-8-1-10-28-11-9-25-14-28/h2-7,9,11-14H,1,8,10H2,(H2,24,27)(H,26,29)",CXBBWVXSZINRCS-UHFFFAOYSA-N,6,2,7,0,4,30,6,3,0,"-1,2",,Active,Nc1ncc(C=CC(=O)NCCCn2ccnc2)c2scc(-c3ccc(Br)cc3)c12,"481,05719336",0.2948482865,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"0,631",nM,Ki,"9,2",CHEMBL1982476,,"InChI=1S/C22H18ClN5O2S/c1-25-21(29)16-10-26-20(24)18-17(11-31-19(16)18)12-5-7-14(8-6-12)27-22(30)28-15-4-2-3-13(23)9-15/h2-11H,1H3,(H2,24,26)(H,25,29)(H2,27,28,30)",KNARVZUUCLIBGV-UHFFFAOYSA-N,5,4,4,1,4,31,7,5,1,"-1,59",,Active,CNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)csc12,"451,086973496",0.3414428906,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"1,0",nM,IC50,"9,0",CHEMBL285063,,"InChI=1S/C17H13BrN4O/c1-2-16(23)21-13-6-7-15-14(9-13)17(20-10-19-15)22-12-5-3-4-11(18)8-12/h2-10H,1H2,(H,21,23)(H,19,20,22)",HTUBKQUPEREOGA-UHFFFAOYSA-N,4,2,4,0,3,23,5,2,0,"-1,41",2007,Active,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,"368,027273136",0.6747178471,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"1,0",nM,Ki,"9,0",CHEMBL1970879,,"InChI=1S/C34H39N9O3/c1-21(44)41-14-16-42(17-15-41)24-9-11-25(12-10-24)43-33-30(32(35)36-20-37-33)31(39-43)23-8-13-26(29(19-23)46-3)38-34(45)28-18-22-6-4-5-7-27(22)40(28)2/h4-8,13,18-20,24-25H,9-12,14-17H2,1-3H3,(H,38,45)(H2,35,36,37)",ZMNWFTYYYCSSTF-UHFFFAOYSA-N,10,2,6,1,5,46,12,3,2,"-1,29",,Active,COc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,"621,317586108",0.2834384556,,,
P06241,SINGLE PROTEIN,Tyrosine-protein kinase FYN,CHEMBL1841,"1,0",nM,IC50,"9,0",CHEMBL364623,,"InChI=1S/C17H16ClN5OS/c1-9-5-4-6-12(18)15(9)23-16(24)13-8-19-17(25-13)22-14-7-10(2)20-11(3)21-14/h4-8H,1-3H3,(H,23,24)(H,19,20,21,22)",WFRLFWGASBLYTC-UHFFFAOYSA-N,6,2,4,0,3,25,6,2,0,"-2,37",2004,Active,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,"373,076408812",0.7029734652,,,
