accession,target_type,pref_name,chembl_id,standard_value,standard_units,standard_type,pchembl_value,chembl_id_ligand,max_phase,standard_inchi,standard_inchi_key,hba,hbd,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,year,Activity_type,canonical_smiles (Canonical),ExactMW,QED
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,038",nM,Ki,"10,42",CHEMBL343448,4,"InChI=1S/C24H36N4O6S2/c1-6-16-21(30)28-20(14(4)5)24(33)34-15-9-7-8-10-35-36-12-17(22(31)25-16)26-23(32)19(13(2)3)27-18(29)11-15/h6-7,9,13-15,17,19-20H,8,10-12H2,1-5H3,(H,25,31)(H,26,32)(H,27,29)(H,28,30)/b9-7+,16-6-/t15-,17-,19-,20+/m1/s1",OHRURASPPZQGQM-GCCNXGTGSA-N,8,4,2,1,0,36,10,4,1,"2,22",2010,Active,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,"540,207626872","0,178338586043262"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,04",nM,Ki,"10,4",CHEMBL2408247,,"InChI=1S/C12H14O2/c13-11-7-3-6-10(8-12(11)14)9-4-1-2-5-9/h3,6-9H,1-2,4-5H2,(H,13,14)",GWRCCABSMRGDID-UHFFFAOYSA-N,2,1,1,0,1,14,2,1,0,"0,45",2013,Active,O=c1cc(C2CCCC2)cccc1O,"190,099379688","0,737951767712575"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,06",nM,Ki,"10,22",CHEMBL2105763,2,"InChI=1S/C21H26N6O2/c1-26-14-17(18-4-2-3-5-19(18)26)11-22-10-15-6-8-27(9-7-15)21-23-12-16(13-24-21)20(28)25-29/h2-5,12-15,22,29H,6-11H2,1H3,(H,25,28)",PAWIYAYFNXQGAP-UHFFFAOYSA-N,7,3,6,0,3,29,8,3,0,"-1,24",2015,Active,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,"394,211724072","0,437755955890316"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,06",nM,Ki,"10,22",CHEMBL2408242,,"InChI=1S/C13H10O2/c14-12-8-4-7-11(9-13(12)15)10-5-2-1-3-6-10/h1-9H,(H,14,15)",MAAPIYPCXMEMAV-UHFFFAOYSA-N,2,1,1,0,2,15,2,1,0,"0,24",2013,Active,O=c1cc(-c2ccccc2)cccc1O,"198,06807956","0,763602999730353"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,1",nM,Ki,"10,0",CHEMBL314389,,"InChI=1S/C17H14N2O4S/c20-17(18-21)9-5-4-6-14-10-12-15(13-11-14)19-24(22,23)16-7-2-1-3-8-16/h1-3,5,7-13,19,21H,(H,18,20)/b9-5+",IVTKCTFTVKYWIQ-WEVVVXLNSA-N,4,3,4,0,2,24,6,3,0,"-0,58",2015,Active,O=C(/C=C/C#Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)NO,"342,067427928","0,342202002211194"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,112",nM,IC50,"9,95",CHEMBL3086767,,"InChI=1S/C15H22N2O3/c1-2-20-15(19)17-11-6-9-14(18)16-12-10-13-7-4-3-5-8-13/h3-5,7-8H,2,6,9-12H2,1H3,(H,16,18)(H,17,19)",HTOYBIILVCHURC-UHFFFAOYSA-N,3,2,8,0,1,20,5,2,0,"-0,86",2013,Active,CCOC(=O)NCCCC(=O)NCCc1ccccc1,"278,163042564","0,713352063769078"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,12",nM,Ki,"9,92",CHEMBL430060,,"InChI=1S/C34H49N5O6/c1-5-22(3)30-34(44)38-19-13-12-18-29(38)33(43)35-26(16-9-7-8-14-24(40)6-2)31(41)36-27(32(42)37-30)20-23-21-39(45-4)28-17-11-10-15-25(23)28/h10-11,15,17,21-22,26-27,29-30H,5-9,12-14,16,18-20H2,1-4H3,(H,35,43)(H,36,41)(H,37,42)/t22-,26-,27-,29+,30-/m0/s1",JWOGUUIOCYMBPV-GMFLJSBRSA-N,7,3,12,1,2,45,11,3,2,"1,17",2010,Active,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,"623,368284288","0,310879621869207"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,12",nM,Ki,"9,92",CHEMBL2408243,,"InChI=1S/C14H12O3/c1-17-12-7-5-10(6-8-12)11-3-2-4-13(15)14(16)9-11/h2-9H,1H3,(H,15,16)",ONWOFQLLGGJDEH-UHFFFAOYSA-N,3,1,2,0,2,17,3,1,0,"0,16",2013,Active,COc1ccc(-c2cccc(O)c(=O)c2)cc1,"228,078644244","0,858222418620569"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,13",nM,Ki,"9,89",CHEMBL2408245,,"InChI=1S/C11H14O2/c1-11(2,3)8-5-4-6-9(12)10(13)7-8/h4-7H,1-3H3,(H,12,13)",YCJXIOAKVCHNQZ-UHFFFAOYSA-N,2,1,0,0,1,13,2,1,0,"-0,02",2013,Active,CC(C)(C)c1cccc(O)c(=O)c1,"178,099379688","0,659790818819093"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,18",nM,IC50,"9,74",CHEMBL4080164,,"InChI=1S/C21H23N3O2.ClH/c1-15-18(19-7-2-3-8-20(19)23-15)11-12-22-14-17-6-4-5-16(13-17)9-10-21(25)24-26;/h2-10,13,22-23,26H,11-12,14H2,1H3,(H,24,25);1H/b10-9+;",OMWQCERVBCOYFR-RRABGKBLSA-N,3,4,7,0,3,26,5,4,0,"-0,4",2017,Active,Cc1[nH]c2ccccc2c1CCNCc1cccc(/C=C/C(=O)NO)c1,"349,179026976","0,22867159767801"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,18",nM,IC50,"9,74",CHEMBL4080164,,"InChI=1S/C21H23N3O2.ClH/c1-15-18(19-7-2-3-8-20(19)23-15)11-12-22-14-17-6-4-5-16(13-17)9-10-21(25)24-26;/h2-10,13,22-23,26H,11-12,14H2,1H3,(H,24,25);1H/b10-9+;",OMWQCERVBCOYFR-RRABGKBLSA-N,3,4,7,0,3,26,5,4,0,"-0,4",2017,Active,Cl,"35,976677712","0,365164323793895"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,22",nM,Ki,"9,66",CHEMBL2408246,,"InChI=1S/C11H14O2/c1-3-8(2)9-5-4-6-10(12)11(13)7-9/h4-8H,3H2,1-2H3,(H,12,13)",QSELYFLDJMFIRZ-UHFFFAOYSA-N,2,1,2,0,1,13,2,1,0,"0,33",2013,Active,CCC(C)c1cccc(O)c(=O)c1,"178,099379688","0,753834946927677"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,23",nM,Ki,"9,64",CHEMBL2408241,,"InChI=1S/C16H16O5/c1-19-13-9-8-11(15(20-2)16(13)21-3)10-6-4-5-7-12(17)14(10)18/h4-9H,1-3H3,(H,17,18)",YTKNXWWUDKLVLK-UHFFFAOYSA-N,5,1,4,0,2,21,5,1,0,"0,49",2013,Active,COc1ccc(-c2ccccc(O)c2=O)c(OC)c1OC,"288,099773612","0,93577929243792"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,25",nM,Ki,"9,6",CHEMBL2408238,,"InChI=1S/C17H12O2/c18-16-8-4-3-7-15(17(16)19)14-10-9-12-5-1-2-6-13(12)11-14/h1-11H,(H,18,19)",ZAJVVUCLCLFUFW-UHFFFAOYSA-N,2,1,1,0,3,19,2,1,0,"0,15",2013,Active,O=c1c(O)ccccc1-c1ccc2ccccc2c1,"248,083729624","0,714405243876585"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,26",nM,Ki,"9,59",CHEMBL2408237,,"InChI=1S/C13H10O2/c14-12-9-5-4-8-11(13(12)15)10-6-2-1-3-7-10/h1-9H,(H,14,15)",MUSVYQMQNAIUDU-UHFFFAOYSA-N,2,1,1,0,2,15,2,1,0,"0,16",2013,Active,O=c1c(O)ccccc1-c1ccccc1,"198,06807956","0,763602999730353"
Q92769,SINGLE PROTEIN,Histone deacetylase 2,CHEMBL1937,"0,3",nM,IC50,"9,52",CHEMBL4861467,,"InChI=1S/C34H45N5O3/c1-3-25(40)9-5-4-6-10-28(38-33(41)27-20-34(27)13-16-39(17-14-34)22-23-11-12-23)32-36-21-30(37-32)26-18-24-8-7-15-35-29(24)19-31(26)42-2/h7-8,15,18-19,21,23,27-28H,3-6,9-14,16-17,20,22H2,1-2H3,(H,36,37)(H,38,41)/t27-,28+/m1/s1",LBLZRRPKVKWPQM-IZLXSDGUSA-N,6,2,14,2,3,42,8,2,2,"-0,23",2021,Active,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC1CC1)CC2)c1ncc(-c2cc3cccnc3cc2OC)[nH]1,"571,3522403","0,222524305877778"
