accession,target_type,pref_name,chembl_id,standard_value,standard_units,standard_type,pchembl_value,chembl_id_ligand,max_phase,standard_inchi,standard_inchi_key,hba,hbd,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,year,Activity_type,canonical_smiles (Canonical),ExactMW,QED
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,01905",nM,Kd,"10,72",CHEMBL272077,,"InChI=1S/C23H30ClN3O2/c1-17(2)26-11-4-12-27(14-13-26)23(28)18-5-10-22(19(15-18)16-25-3)29-21-8-6-20(24)7-9-21/h5-10,15,17,25H,4,11-14,16H2,1-3H3",CVFUNUQUAWLUGT-UHFFFAOYSA-N,4,1,6,0,2,29,5,1,0,"-1,35",2008,Active,CNCc1cc(C(=O)N2CCCN(C(C)C)CC2)ccc1Oc1ccc(Cl)cc1,"415,20265488","0,758613722999549"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,01995",nM,Kd,"10,7",CHEMBL401683,,"InChI=1S/C23H29N3O2/c1-24-17-19-16-18(8-11-22(19)28-21-6-3-2-4-7-21)23(27)26-13-5-12-25(14-15-26)20-9-10-20/h2-4,6-8,11,16,20,24H,5,9-10,12-15,17H2,1H3",ZRHGDWMRFCDZHY-UHFFFAOYSA-N,4,1,6,0,2,28,5,1,0,"-1,02",2008,Active,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccccc1,"379,225977168","0,834284217387671"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,02239",nM,Kd,"10,65",CHEMBL258349,,"InChI=1S/C23H28FN3O2/c1-25-16-18-15-17(3-10-22(18)29-21-8-4-19(24)5-9-21)23(28)27-12-2-11-26(13-14-27)20-6-7-20/h3-5,8-10,15,20,25H,2,6-7,11-14,16H2,1H3",LOMPCAVUANIGGY-UHFFFAOYSA-N,4,1,6,0,2,29,5,1,0,"-1,22",2008,Active,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(F)cc1,"397,216555356","0,808294890366775"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,02512",nM,Ki,"10,6",CHEMBL3094128,,"InChI=1S/C27H35N3O4/c31-27(22-7-10-25-26(17-22)34-20-33-25)28-23-11-15-30(19-23)18-21-5-8-24(9-6-21)32-16-4-14-29-12-2-1-3-13-29/h5-10,17,23H,1-4,11-16,18-20H2,(H,28,31)/t23-/m0/s1",AVVIXBQVVAAVHK-QHCPKHFHSA-N,6,1,9,0,2,34,7,1,0,"-1,35",2013,Active,O=C(N[C@H]1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)C1)c1ccc2c(c1)OCO2,"465,2627566","0,570403458040795"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,03",nM,Ki,"10,52",CHEMBL3753475,,"InChI=1S/C27H39N3O2/c31-27-26-8-7-25(32-24-12-16-29(17-13-24)22-5-2-6-22)19-20(26)9-18-30(27)23-10-14-28(15-11-23)21-3-1-4-21/h7-8,19,21-24H,1-6,9-18H2",WGGOOXADDFSJLX-UHFFFAOYSA-N,4,0,5,0,1,32,5,0,0,"-0,22",2016,Active,O=C1c2ccc(OC3CCN(C4CCC4)CC3)cc2CCN1C1CCN(C2CCC2)CC1,"437,304227488","0,694986695435301"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,03125",nM,Ki,"10,51",CHEMBL508712,,"InChI=1S/C25H29N3O2/c1-17-5-3-8-22-23(17)26-24(27(2)25(22)29)18-9-11-20(12-10-18)30-21-13-15-28(16-14-21)19-6-4-7-19/h3,5,8-12,19,21H,4,6-7,13-16H2,1-2H3",FZAFEIPWODBIGS-UHFFFAOYSA-N,5,0,4,0,3,30,5,0,0,"-0,76",2011,Active,Cc1cccc2c(=O)n(C)c(-c3ccc(OC4CCN(C5CCC5)CC4)cc3)nc12,"403,225977168","0,651487607612604"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,03631",nM,Kd,"10,44",CHEMBL257208,,"InChI=1S/C24H28N4O2/c1-26-17-20-15-19(6-9-23(20)30-22-5-2-4-18(14-22)16-25)24(29)28-11-3-10-27(12-13-28)21-7-8-21/h2,4-6,9,14-15,21,26H,3,7-8,10-13,17H2,1H3",UWCGILLDYHOPEU-UHFFFAOYSA-N,5,1,6,0,2,30,6,1,0,"-1,4",2008,Active,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1cccc(C#N)c1,"404,221226136","0,799412913813536"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,03981",nM,Kd,"10,4",CHEMBL272699,,"InChI=1S/C23H28ClN3O2/c1-25-16-18-14-17(6-9-22(18)29-21-5-2-4-19(24)15-21)23(28)27-11-3-10-26(12-13-27)20-7-8-20/h2,4-6,9,14-15,20,25H,3,7-8,10-13,16H2,1H3",QUZXTJYADOYRDB-UHFFFAOYSA-N,4,1,6,0,2,29,5,1,0,"-1,29",2008,Active,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1cccc(Cl)c1,"413,187004816","0,771785146155715"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,03981",nM,EC50,"10,4",CHEMBL18661,,"InChI=1S/C9H15N3/c1-3-10-4-2-8(1)5-9-6-11-7-12-9/h6-8,10H,1-5H2,(H,11,12)",MCNGUYXRBCIGOV-UHFFFAOYSA-N,2,2,2,0,1,12,3,2,0,"0,1",2010,Active,c1nc(CC2CCNCC2)c[nH]1,"165,12659748","0,684741565520616"
Q9Y5N1,SINGLE PROTEIN,Histamine H3 receptor,CHEMBL264,"0,042",nM,Ki,"10,38",CHEMBL455288,,"InChI=1S/C37H45F3N4O3S/c38-37(39,40)30-12-15-35-33(28-30)44(32-8-2-3-9-34(32)48-35)20-6-18-42-21-23-43(24-22-42)25-27-47-36(45)29-10-13-31(14-11-29)46-26-7-19-41-16-4-1-5-17-41/h2-3,8-15,28H,1,4-7,16-27H2",OXJGPZFAZUEPIX-UHFFFAOYSA-N,8,0,13,2,3,48,7,0,2,"-1,13",2009,Active,O=C(OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1)c1ccc(OCCCN2CCCCC2)cc1,"682,31644696","0,136433034030676"
