Cl.Cl.NC1CCCN(Cc2ccccc2)C1 MolPort-000-000-372
CCC(NC(=O)c1ccn(C)n1)(C1CC1)C1CC1 MolPort-044-539-075
CC(N(C)C(=O)N1CCN(CC(=O)O)CC1)C(C)(C)C MolPort-012-414-567
NCc1cc2ccccc2c(OCC(F)(F)F)n1 MolPort-012-760-273
Cc1nn(C)cc1C(CN)N1CCN(C)C(C)C1 MolPort-031-300-409
CCc1nc(N(CC)C(C)C)sc1CO MolPort-014-769-050
CCCn1ncnc1CC1(F)CC2CCC(C1)N2 MolPort-031-539-410
O=C(Cc1cccc(O)c1)N1CCCCC1CCCl MolPort-011-773-824
CCN(CC1CCNCC1)C1CCC(C)CC1C MolPort-025-783-062
CS(=O)(=O)c1cn[nH]c1C1CCN(Cc2cccc(Cl)c2)C1 MolPort-020-302-179
COc1ccc2c(c1)CC(C(C)C(=O)O)CC2 MolPort-029-210-696
Cc1ccc(O)c(CNC(C)Cc2ccsc2)n1 MolPort-027-618-619
Cc1cccc(NC(=O)CN2CCN(Cc3ccsc3)CC2)c1C MolPort-005-634-126
CC(C)CC(=O)Nc1ccnn1C1CCN(C(=O)CC(F)(F)F)CC1 MolPort-005-141-204
Nc1ncccc1C(O)c1ccc(Cl)cc1 MolPort-020-867-987
CC1CCCC(n2cc(CC(N)C(=O)O)nn2)C1 MolPort-034-381-067
CCOc1ccc(CN(C)C(=O)CC2COCCN2)cc1.Cl MolPort-041-101-100
Cc1ccc(C)c(CN2CC(=O)NC(C3CC3)C2=O)c1 MolPort-021-673-189
Cc1ccnc(Cl)c1-n1nc(C2CCC2)c(Cl)c1N 324641708
CC(C)CNc1nncc(N2CCN(C(=O)c3ccco3)CC2)n1 MolPort-043-461-975
CCOc1ncnc(OCC2(N)CCCCCC2)c1C MolPort-024-953-691
CC(C)Oc1ccc2c(c1)CCCN2C(=O)C1CCCC(=O)N1 Z3056513701
Cc1cccc(CNC[C@H](C)c2ccccc2)c1F MolPort-022-337-487
Nc1cccc(C(=O)Nc2ccc3c(c2)OCO3)c1Br MolPort-031-823-330
O=S1(=O)N=C(N2CCCC2CNC2CC2)c2ccccc21 MolPort-013-872-789
Cn1cc(CNCC(c2ccccc2)N2CCCC2)nn1 MolPort-014-747-863
CNC(Cc1ccc(OC)cc1)CC(C)C(C)(C)C MolPort-020-603-156
O=C1CS/C(=N/S(=O)(=O)c2ccccc2)N1Cc1ccccc1 MolPort-000-308-827
Cc1nc(Oc2cnn(C(C)C)c2)ncc1CN MolPort-034-457-364
COc1cc(-n2nc(C3CCOC3)c(C#N)c2Br)cc(C)n1 330853610
CN(CC1CC2CCC1C2)c1ccc(N)c(C#N)c1 MolPort-030-465-162
CC(C)(C)OC(=O)N1CCC(N)(Cc2ccccc2)C1 MolPort-029-525-326
CCCNc1cc(C)nc2c(C)ccc(C)c12 MolPort-012-321-903
CN(C)Cc1ccccc1CNC(=O)c1ccc(N2CCCCC2=O)cc1 MolPort-003-308-324
CCC1(CC)CCN(C(=O)c2cnc(N)c(Cl)c2)C1 MolPort-026-259-950
Cc1ccc(C(=O)NNC(=O)Cn2ccccc2=O)c(C)c1 MolPort-004-218-259
COc1ccc2c(c1)CC(CC(C)(C)C(=O)O)S2(=O)=O MolPort-038-277-352
CNCC1CCN(C(=O)c2cccc(OCC3CCCO3)c2)C1.Cl MolPort-042-036-573
N#CC1(CS(=O)(=O)N2CC[C@@H](O)[C@H]2c2ccc(Cl)cc2)CC1 MolPort-040-858-959
Cc1cn(-c2ncccc2S(C)(=O)=O)nc1N MolPort-034-816-849
Cc1sc(NC(=O)c2ccco2)c(CN2CCOCC2)c1C MolPort-000-226-642
COc1ccc(C(N)Cn2cnc(C)cc2=O)c(OC)c1 MolPort-014-555-851
CC1(C)CC(NC(=O)N2CCN(C3CCC3)CC2)CCO1 MolPort-042-878-622
CC(CNC(=O)Nc1ccc(Br)cn1)c1nccs1 MolPort-030-029-730
O=C1CC2(CCCCC2)N(Cc2coc(-c3cccc(F)c3)n2)N1 MolPort-040-649-531
CN1CCC(N(C)c2ccc(C(F)(F)F)cc2C#N)CC1 MolPort-013-260-328
CCC(CC)C(=O)N1CCC(NC(=O)c2ccc(CN)cc2)CC1 MolPort-045-164-241
CC1CCCN(S(=O)(=O)NC(c2cccc(F)c2)c2nccn2C)C1 MolPort-007-327-482
O=C(c1ocnc1C1CC1)N1CCC2(CCCCC2)C1 MolPort-042-852-647
CCc1c(CCCC(=O)O)c(Cl)cc(OC)c1OC MolPort-037-834-449
CC(C)C(C)(C#N)NC(=O)CN(Cc1ccccc1)C1CC1 MolPort-009-267-080
O=C(Nc1ccccc1Cl)N1CCC(n2cc(CCO)nn2)CC1 MolPort-008-364-181
O=C(NC1(C(=O)O)CC1)c1ccc(N2CCCCC2=O)cc1 MolPort-039-278-559
Cl.O=C(Cc1ccc2c(c1)OCO2)N1CCC(NCC2CC2)CC1 MolPort-042-051-279
Cc1cn2c(CC(=O)NCC3(CO)CCCC3)csc2n1 MolPort-030-285-699
CC(C)C(C#N)C(=O)Nc1ccc(S(N)(=O)=O)cc1 MolPort-012-480-371
COc1ccc(C(CN)C2CCC(C(C)(C)C)CC2)c(C)c1 MolPort-029-829-993
Cc1nc(CC2(N)CCCCC2(C)C)cs1 MolPort-025-911-806
CCC1CN(c2cncc(NC)c2)CCN1C MolPort-032-372-565
COc1ccc(C(O)CNc2c(C)cc(C)cc2C)cc1C MolPort-008-804-665
